,CustomerID,CustomerName,Region,Country,PriceCategory,CustomerClass,LeadSource,Discontinued
160,179,C161,Chelyabinsk,Russian Federation,1,Large-Scale Wholesaler-1,,0
161,180,C162,Ukhta,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
162,181,C163,Tomsk,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
163,182,C164,Rostov-on-Don,Russian Federation,2,Large-Scale Wholesaler-1,Referral by the Central Office,0
164,183,C165,Saratov,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
165,184,C166,Istra,Russian Federation,5,Retailer,,0
166,185,C167,Rostov-on-Don,Russian Federation,4,Large-Scale Wholesaler-1,Sales Calls or Visits,0
167,186,C168,Saint Petersburg,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
168,187,C169,Vladimir,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
169,188,C170,Perm,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
170,189,C171,Krasnodar,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
171,190,C172,Krasnodar,Russian Federation,1,Large-Scale Wholesaler-1,Sales Calls or Visits,0
172,191,C173,Krasnodar,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
173,192,C174,Tula,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
174,193,C175,Chelyabinsk,Russian Federation,1,Large-Scale Wholesaler-1,,0
175,194,C176,Murmansk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
176,195,C177,Perm,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
177,196,C178,Moscow,Russian Federation,2,Small-Scale Wholesaler,Other,0
178,198,C179,Saint Petersburg,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
179,199,C180,Nizhnevartovsk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
180,200,C181,Moscow,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
181,201,C182,Belgorod,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
182,202,C183,Naro-Fominsk,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,1
183,203,C184,Naberezhnye Chelny,Russian Federation,2,Small-Scale Wholesaler,Referral by the Central Office,0
184,204,C185,Omsk,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,1
185,205,C186,Barnaul,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
186,206,C187,Saratov,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
187,207,C188,Moscow,Russian Federation,5,Retailer,Other,0
188,208,C189,Moscow,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
189,209,C190,Moscow,Russian Federation,4,Small-Scale Wholesaler,Organic Search,0
190,210,C191,Tomsk,Russian Federation,1,Large-Scale Wholesaler-1,Referral by the Central Office,0
191,211,C192,Tambov,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
192,213,C193,Maloyaroslavets,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
193,215,C194,Moscow,Russian Federation,4,Small-Scale Wholesaler,Referral by Third Parties,0
194,216,C195,Khabarovsk,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
195,217,C196,Kazan,Russian Federation,5,Retailer,Advertisement in Regional Wholesaler Magazine,0
196,218,C197,Moscow,Russian Federation,1,Large-Scale Wholesaler-2,Sales Calls or Visits,0
197,219,C198,Tver,Russian Federation,1,Large-Scale Wholesaler-2,Referral by the Central Office,0
198,221,C199,Moscow,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
199,222,C200,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
200,223,C201,Nadym,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
201,224,C202,Smolensk,Russian Federation,2,Large-Scale Wholesaler-2,Referral by the Central Office,0
202,225,C203,Vologda,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
203,226,C204,Naryan-Mar,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
204,227,C205,Moscow,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
205,228,C206,Penza,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
206,229,C207,Moscow,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
207,230,C208,Dolgoprudny,Russian Federation,4,Retailer,Advertisement in National Wholesale Magazine,0
208,231,C209,Moscow,Russian Federation,3,HyPermarket,Other,0
209,232,C210,Saratov,Russian Federation,4,Small-Scale Wholesaler,Referral by Third Parties,0
210,233,C211,Samara,Russian Federation,2,Small-Scale Wholesaler,Sales Calls or Visits,0
211,234,C212,Chelyabinsk,Russian Federation,4,Small-Scale Wholesaler,Referral by the Central Office,0
212,235,C213,Kovrov,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
213,236,C214,Tula,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
214,237,C215,Khabarovsk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
215,238,C216,Moscow,Russian Federation,5,Retailer,Advertisement in National Wholesale Magazine,0
216,239,C217,Belgorod,Russian Federation,5,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
217,240,C218,Rostov-on-Don,Russian Federation,4,Retailer,Advertisement in National Wholesale Magazine,0
218,241,C219,Moscow,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
219,242,C220,Pavlovsky Posad,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
220,243,C221,Vologda,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
221,244,C222,Yakutsk,Russian Federation,4,Small-Scale Wholesaler,Advertisement in National Wholesale Magazine,0
222,245,C223,Nizhny Novgorod,Russian Federation,5,Retailer,Sales Calls or Visits,0
223,246,C224,Kemerovo,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
224,247,C225,Moscow,Russian Federation,4,Small-Scale Wholesaler,Sales Calls or Visits,0
