,ProductID,X,Y,Stock,ProductName,Category,Gender,ProductLine,Weight,Size,PackSize,ProductType
82,665,1,24,258.0,S-BX172,Boxers,Men's Briefs,Underwear,57,S,Single Unit,BX172
83,153,1,25,1.0,L-BX17S2,Boxers,Men's Briefs,Underwear,66,L,Single Unit,BX17S2
84,154,1,26,1.0,L-BX17Y1,Boxers,Men's Briefs,Underwear,66,L,Single Unit,BX17Y1
85,155,1,27,4126.0,L-BX34A,Boxers,Men's Briefs,Underwear,88,L,Single Unit,BX34A
86,156,1,28,172.0,L-BX34B,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX34B
87,157,1,29,101.0,L-BX34C,Boxers,Men's Briefs,Underwear,79,L,Single Unit,BX34C
88,158,1,30,1.0,L-BX46B,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX46B
89,159,1,31,142.0,L-BX46C,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX46C
90,160,1,32,2.0,L-BX46CB,Boxers,Men's Briefs,Underwear,90,L,Single Unit,BX46CB
91,161,1,33,1.0,L-BX46SA,Boxers,Men's Briefs,Underwear,84,L,Single Unit,BX46SA
92,162,1,34,251.0,L-BX46SC,Boxers,Men's Briefs,Underwear,83,L,Single Unit,BX46SC
93,163,1,35,2.0,L-BX64P,Boxers,Men's Briefs,Underwear,90,L,Single Unit,BX64P
94,164,1,36,1034.0,L-BX61A,Boxers,Men's Briefs,Underwear,70,L,Single Unit,BX61A
95,669,1,37,472.0,S-BX34A,Boxers,Men's Briefs,Underwear,76,S,Single Unit,BX34A
96,670,1,38,58.0,S-BX34B,Boxers,Men's Briefs,Underwear,63,S,Single Unit,BX34B
97,671,1,39,254.0,S-BX46A,Boxers,Men's Briefs,Underwear,68,S,Single Unit,BX46A
98,672,1,40,3.0,S-BX46B,Boxers,Men's Briefs,Underwear,63,S,Single Unit,BX46B
99,673,1,41,1.0,S-BX46CA,Boxers,Men's Briefs,Underwear,75,S,Single Unit,BX46CA
100,675,1,42,1.0,S-BX46SA,Boxers,Men's Briefs,Underwear,72,S,Single Unit,BX46SA
101,676,1,43,7.0,S-BX46SC,Boxers,Men's Briefs,Underwear,64,S,Single Unit,BX46SC
102,1704,1,44,28.0,S-BX60S2,Boxers,Men's Briefs,Underwear,52,S,Single Unit,BX60S2
103,1705,1,45,7.0,M-BX60S2,Boxers,Men's Briefs,Underwear,60,M,Single Unit,BX60S2
104,1706,1,46,7.0,XL-BX60S2,Boxers,Men's Briefs,Underwear,73,XL,Single Unit,BX60S2
105,3241,1,47,25.0,2-BX46D,Boxers,Boys' Briefs,Underwear,45,S,Single Unit,BX46D
106,3247,1,48,20.0,3-BX46D,Boxers,Boys' Briefs,Underwear,50,M,Single Unit,BX46D
107,4273,1,49,90.0,XL-BX46F,Boxers,Women's Panties,Underwear,85,XL,Dozen,BX46F
108,4274,1,50,80.0,XXL-BX46F,Boxers,Men's Briefs,Underwear,90,XXL,Dozen,BX46F
109,4276,1,51,81.0,M-BX46SF,Boxers,Men's Briefs,Underwear,80,M,Single Unit,BX46SF
110,4277,1,52,29.0,XL-BX46SF,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46SF
111,4278,1,53,13.0,XXL-BX46SF,Boxers,Men's Briefs,Underwear,105,XXL,Single Unit,BX46SF
112,1208,1,54,6.0,L-BX331,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX331
113,1209,1,55,8.0,XL-BX331,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX331
114,1210,1,56,7.0,XXL-BX331,Boxers,Men's Briefs,Underwear,91,XXL,Single Unit,BX331
115,3260,1,57,50.0,L-BX93SB,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX93SB
116,4190,2,0,70.0,XL-BX46CH,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX46CH
117,2252,2,1,40.0,XXL-BX46CA,Boxers,Men's Briefs,Underwear,102,XXL,Single Unit,BX46CA
118,3291,2,2,20.0,M-BX93SB,Boxers,Men's Briefs,Underwear,80,M,Single Unit,BX93SB
119,4181,2,3,19.0,XL-BX34F,Boxers,Women's Panties,Underwear,95,XL,Single Unit,BX34F
120,3313,2,4,21.0,S-BX93SB,Boxers,Men's Briefs,Underwear,70,S,Single Unit,BX93SB
121,4342,2,5,30.0,M-BX46KK,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX46KK
122,4343,2,6,30.0,L-BX46KK,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX46KK
123,4344,2,7,30.0,XL-BX46KK,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46KK
124,4182,2,8,85.0,XXL-BX34F,Boxers,Women's Panties,Underwear,110,XXL,Dozen,BX34F
125,1795,2,9,6.0,S-BX46KC,Boxers,Men's Briefs,Underwear,63,S,Single Unit,BX46KC
126,1284,2,10,46.0,L-BX46SF,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX46SF
127,1285,2,11,101.0,M-BX34F,Boxers,Men's Briefs,Underwear,76,M,Single Unit,BX34F
128,1796,2,12,6.0,M-BX46KC,Boxers,Men's Briefs,Underwear,76,M,Single Unit,BX46KC
129,1797,2,13,3.0,L-BX46KC,Boxers,Men's Briefs,Underwear,84,L,Single Unit,BX46KC
130,1798,2,14,11.0,XL-BX46KC,Boxers,Men's Briefs,Underwear,92,XL,Single Unit,BX46KC
131,2314,2,15,1.0,L-BX60C2,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX60C2
132,2315,2,16,49.0,M-BX60C2,Boxers,Men's Briefs,Underwear,59,M,Single Unit,BX60C2
133,2316,2,17,35.0,S-BX46H3B,Boxers,Men's Briefs,Underwear,68,S,Single Unit,BX46H3B
134,2317,2,18,5.0,S-BX60C2,Boxers,Men's Briefs,Underwear,52,S,Single Unit,BX60C2
135,2318,2,19,270.0,S-BX61A,Boxers,Men's Briefs,Underwear,57,S,Single Unit,BX61A
136,2319,2,20,22.0,XL-BX46D,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46D
137,2320,2,21,50.0,XL-BX60C2,Boxers,Men's Briefs,Underwear,78,XL,Single Unit,BX60C2
138,2321,2,22,100.0,XXL-BX46H3B,Boxers,Men's Briefs,Underwear,95,XXL,Single Unit,BX46H3B
139,2322,2,23,50.0,XXL-BX46K3B,Boxers,Men's Briefs,Underwear,95,XXL,Single Unit,BX46K3B
140,787,2,24,20.0,XL-BX171,Boxers,Men's Briefs,Underwear,81,XL,Single Unit,BX171
141,788,2,25,511.0,XL-BX172,Boxers,Men's Briefs,Underwear,80,XL,Single Unit,BX172
142,789,2,26,2.0,XL-BX17C2,Boxers,Men's Briefs,Underwear,81,XL,Single Unit,BX17C2
143,2323,2,27,51.0,XXL-BX60C2,Boxers,Men's Briefs,Underwear,87,XXL,Single Unit,BX60C2
144,791,2,28,1.0,XL-BX17Y1,Boxers,Men's Briefs,Underwear,88,XL,Single Unit,BX17Y1
145,792,2,29,2406.0,XL-BX34A,Boxers,Men's Briefs,Underwear,93,XL,Single Unit,BX34A
146,793,2,30,281.0,XL-BX34B,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX34B
147,794,2,31,143.0,XL-BX34C,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX34C
148,795,2,32,271.0,XL-BX46A,Boxers,Men's Briefs,Underwear,92,XL,Single Unit,BX46A
149,796,2,33,255.0,XL-BX46B,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX46B
150,797,2,34,357.0,XL-BX46C,Boxers,Men's Briefs,Underwear,84,XL,Single Unit,BX46C
151,3007,2,35,10.0,XL-BX93A,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX93A
152,799,2,36,1.0,XL-BX46SA,Boxers,Men's Briefs,Underwear,96,XL,Single Unit,BX46SA
153,800,2,37,9.0,XL-BX46SC,Boxers,Men's Briefs,Underwear,97,XL,Single Unit,BX46SC
154,668,2,38,7.0,S-BX17Y1,Boxers,Men's Briefs,Underwear,55,S,Single Unit,BX17Y1
155,802,2,39,41.0,XL-BX61A,Boxers,Men's Briefs,Underwear,79,XL,Single Unit,BX61A
156,3516,2,40,20.0,3-BX46KB,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,BX46KB
157,4391,2,41,0.0,M-BX4685SA,Boxers,Men's Briefs,Underwear,80,M,Single Unit,BX4685SA
158,1833,2,42,20.0,XL-BX46CA,Boxers,Men's Briefs,Underwear,102,XL,Single Unit,BX46CA
159,4418,2,43,10.0,M-BX4668SA,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX4668SA
160,4419,2,44,10.0,L-BX46CK,Boxers,Men's Briefs,Underwear,90,L,Single Unit,BX46CK
161,4420,2,45,10.0,M-BX46CK,Boxers,Men's Briefs,Underwear,85,M,Single Unit,BX46CK
162,4421,2,46,10.0,XL-BX46CK,Boxers,Men's Briefs,Underwear,100,XL,Single Unit,BX46CK
163,3005,2,47,11.0,M-BX93A,Boxers,Men's Briefs,Underwear,80,M,Single Unit,BX93A
164,1186,2,48,2.0,XXL-BX46344,Boxers,Men's Briefs,Underwear,95,XXL,Single Unit,BX46344
165,3408,2,49,19.0,2-BX46SB,Boxers,Boys' Briefs,Underwear,50,S,Single Unit,BX46SB
166,3409,2,50,5.0,2-BX46CB,Boxers,Boys' Briefs,Underwear,50,S,Single Unit,BX46CB
167,3410,2,51,144.0,3-BX46CB,Boxers,Boys' Briefs,Underwear,55,M,Single Unit,BX46CB
168,3417,2,52,11.0,2-BX46KL,Boxers,Boys' Briefs,Underwear,50,S,Single Unit,BX46KL
169,1886,2,53,5.0,M-BX46S3B,Boxers,Men's Briefs,Underwear,76,M,Single Unit,BX46S3B
170,1887,2,54,181.0,L-BX46S3B,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX46S3B
171,1888,2,55,70.0,XL-BX46S3B,Boxers,Men's Briefs,Underwear,84,XL,Single Unit,BX46S3B
172,1889,2,56,2.0,M-BX46C3B,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX46C3B
173,1890,2,57,1.0,M-BX46K3B,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX46K3B
174,1891,3,0,63.0,L-BX46K3B,Boxers,Men's Briefs,Underwear,84,L,Single Unit,BX46K3B
175,1892,3,1,2.0,XL-BX46K3B,Boxers,Men's Briefs,Underwear,91,XL,Single Unit,BX46K3B
176,1893,3,2,1.0,M-BX46H3B,Boxers,Men's Briefs,Underwear,74,M,Single Unit,BX46H3B
177,1894,3,3,70.0,L-BX46H3B,Boxers,Men's Briefs,Underwear,82,L,Single Unit,BX46H3B
178,1895,3,4,150.0,XL-BX46H3B,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX46H3B
179,3006,3,5,10.0,L-BX93A,Boxers,Men's Briefs,Underwear,85,L,Single Unit,BX93A
180,3431,3,6,37.0,L-BX77KA,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX77KA
181,3432,3,7,30.0,L-BX77SA,Boxers,Men's Briefs,Underwear,75,L,Single Unit,BX77SA
182,3433,3,8,20.0,L-BX9AT3KB,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX9AT3KB
183,3442,3,9,31.0,M-BX77KA,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX77KA
184,3443,3,10,31.0,M-BX77SA,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX77SA
185,3444,3,11,21.0,M-BX9AT3KB,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX9AT3KB
186,377,3,12,197.0,M-BX171,Boxers,Men's Briefs,Underwear,60,M,Single Unit,BX171
187,378,3,13,407.0,M-BX172,Boxers,Men's Briefs,Underwear,66,M,Single Unit,BX172
188,381,3,14,1.0,M-BX17Y1,Boxers,Men's Briefs,Underwear,67,M,Single Unit,BX17Y1
189,382,3,15,1644.0,M-BX34A,Boxers,Men's Briefs,Underwear,83,M,Single Unit,BX34A
190,383,3,16,139.0,M-BX34B,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX34B
191,384,3,17,138.0,M-BX34C,Boxers,Men's Briefs,Underwear,65,M,Single Unit,BX34C
192,385,3,18,383.0,M-BX46C,Boxers,Men's Briefs,Underwear,65,M,Single Unit,BX46C
193,386,3,19,2.0,M-BX46CA,Boxers,Men's Briefs,Underwear,83,M,Single Unit,BX46CA
194,387,3,20,1.0,M-BX46CB,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX46CB
195,388,3,21,264.0,M-BX46SC,Boxers,Men's Briefs,Underwear,82,M,Single Unit,BX46SC
196,901,3,22,2.0,XXL-BX61A,Boxers,Men's Briefs,Underwear,94,XXL,Single Unit,BX61A
197,3455,3,23,40.0,S-BX77KA,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX77KA
198,3456,3,24,30.0,S-BX77SA,Boxers,Men's Briefs,Underwear,60,S,Single Unit,BX77SA
199,3457,3,25,30.0,S-BX9AT3KB,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX9AT3KB
200,3471,3,26,1.0,XL-BX77KA,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX77KA
201,3472,3,27,30.0,XL-BX77SA,Boxers,Men's Briefs,Underwear,85,XL,Single Unit,BX77SA
202,3473,3,28,11.0,XL-BX9AT3KB,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX9AT3KB
203,3484,3,29,36.0,3-BX46B,Boxers,Boys' Briefs,Underwear,50,M,Single Unit,BX46B
204,3485,3,30,140.0,3-BX46SB,Boxers,Boys' Briefs,Underwear,60,M,Single Unit,BX46SB
205,3486,3,31,30.0,2-BX46KB,Boxers,Boys' Briefs,Underwear,50,S,Single Unit,BX46KB
206,3487,3,32,20.0,2-BX46B,Boxers,Boys' Briefs,Underwear,45,S,Single Unit,BX46B
207,3489,3,33,20.0,3-BX46KL,Boxers,Boys' Briefs,Underwear,60,M,Single Unit,BX46KL
208,3490,3,34,60.0,S-BX77CA,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX77CA
209,3491,3,35,31.0,M-BX77CA,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX77CA
210,3492,3,36,20.0,L-BX77CA,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX77CA
211,3493,3,37,10.0,S-BX93B,Boxers,Men's Briefs,Underwear,70,S,Single Unit,BX93B
212,3494,3,38,21.0,M-BX93B,Boxers,Men's Briefs,Underwear,75,M,Single Unit,BX93B
213,3495,3,39,20.0,L-BX93B,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX93B
214,3496,3,40,12.0,XL-BX93B,Boxers,Men's Briefs,Underwear,90,XL,Single Unit,BX93B
215,3499,3,41,30.0,S-BX77A,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX77A
216,3500,3,42,31.0,M-BX77A,Boxers,Men's Briefs,Underwear,70,M,Single Unit,BX77A
217,2324,3,43,1.0,XXL-BX60S2,Boxers,Men's Briefs,Underwear,91,XXL,Single Unit,BX60S2
218,3501,3,44,20.0,L-BX77A,Boxers,Men's Briefs,Underwear,80,L,Single Unit,BX77A
219,4014,3,45,89.0,XL-BX34E,Boxers,Men's Briefs,Underwear,95,XL,Single Unit,BX34E
220,4015,3,46,80.0,S-BX46KE,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX46KE
221,4018,3,47,99.0,S-BX46CE,Boxers,Men's Briefs,Underwear,65,S,Single Unit,BX46CE
222,2490,3,48,55.0,S-BX46G,Boxers,Men's Briefs,Underwear,58,S,Single Unit,BX46G
223,2491,3,49,5.0,S-BX46KG,Boxers,Men's Briefs,Underwear,61,S,Single Unit,BX46KG
224,2492,3,50,90.0,S-BX46CG,Boxers,Men's Briefs,Underwear,60,S,Single Unit,BX46CG
225,2493,3,51,185.0,M-BX46CG,Boxers,Men's Briefs,Underwear,67,M,Single Unit,BX46CG
226,2494,3,52,70.0,M-BX46SG,Boxers,Men's Briefs,Underwear,64,M,Single Unit,BX46SG
227,2495,3,53,58.0,L-BX46G,Boxers,Men's Briefs,Underwear,64,L,Single Unit,BX46G
228,2496,3,54,72.0,L-BX46KG,Boxers,Men's Briefs,Underwear,72,L,Single Unit,BX46KG
229,2497,3,55,2.0,L-BX46CG,Boxers,Men's Briefs,Underwear,72,L,Single Unit,BX46CG
230,2498,3,56,217.0,L-BX46SG,Boxers,Men's Briefs,Underwear,65,L,Single Unit,BX46SG
231,2499,3,57,5.0,XL-BX46G,Boxers,Men's Briefs,Underwear,72,XL,Single Unit,BX46G
232,2500,4,0,1.0,XL-BX46KG,Boxers,Men's Briefs,Underwear,81,XL,Single Unit,BX46KG
233,2501,4,1,184.0,XL-BX46SG,Boxers,Men's Briefs,Underwear,76,XL,Single Unit,BX46SG
234,2502,4,2,25.0,XXL-BX46G,Boxers,Men's Briefs,Underwear,77,XXL,Single Unit,BX46G
